user_id,event_type,query,timestamp,product_id
1,search,clothes,2026-09-20 20:44:39.336443,
1,search,clothe,2026-09-20 20:44:43.425556,
1,search,jeans,2026-09-20 20:44:53.692100,
1,click,,2026-09-20 20:44:58.019628,72.0
5,search,tablet,2026-09-20 20:49:46.047485,
5,click,,2026-09-20 20:49:49.388639,65.0
5,click,,2026-09-20 20:50:33.441689,65.0
1,click,,2026-09-20 20:57:22.272946,5.0
5,search,mat,2026-09-20 21:02:06.584587,
5,click,,2026-09-20 21:02:11.736096,106.0
1,click,,2026-09-20 21:08:10.261144,12.0
1,search,books,2026-09-20 21:08:46.507949,
1,click,,2026-09-20 21:08:49.059730,22.0
1,purchase,,2026-09-20 21:09:05.184367,22.0
3,search,jeans,2026-09-20 21:09:42.892809,
3,click,,2026-09-20 21:10:15.205033,192.0
3,click,,2026-09-20 21:12:27.414875,192.0
1,search,books,2026-09-20 21:18:48.728562,
1,click,,2026-09-20 21:18:51.294994,22.0
4,click,,2026-09-20 21:19:27.171820,125.0
2,click,,2026-09-20 21:20:57.480953,58.0
1,click,,2026-09-20 21:57:23.750465,26.0
1,click,,2026-09-20 22:01:53.500276,26.0
3,click,,2026-09-20 22:02:24.740770,192.0
1,click,,2026-09-20 22:05:50.574382,28.0
1,search,tablet,2026-09-20 22:06:02.169946,
1,click,,2026-09-20 22:06:04.990098,65.0
1,click,,2026-09-20 22:06:23.343363,65.0
1,purchase,,2026-09-20 22:06:55.007383,28.0
1,search,electronics,2026-09-20 22:08:31.239839,
1,click,,2026-09-20 22:08:33.095029,1.0
1,click,,2026-09-20 22:12:56.918793,5.0
1,search,books,2026-09-20 22:13:05.943339,
1,click,,2026-09-20 22:13:11.407015,21.0
1,click,,2026-09-20 22:19:43.144954,26.0
1,search,books,2026-09-20 22:19:55.735272,
1,click,,2026-09-20 22:19:58.175646,22.0
5,click,,2026-09-20 22:20:48.042772,46.0
5,search,books,2026-09-20 22:21:36.600239,
5,click,,2026-09-20 22:21:39.437647,22.0
1,click,,2026-09-20 22:25:23.359155,26.0
1,click,,2026-09-20 22:25:30.638002,28.0
1,click,,2026-09-20 22:25:32.182484,28.0
1,click,,2026-09-20 22:25:36.995516,28.0
1,search,books,2026-09-20 22:25:49.395674,
1,click,,2026-09-20 22:25:51.445759,21.0
1,click,,2026-09-20 22:28:31.238337,26.0
1,click,,2026-09-20 22:28:38.081900,28.0
1,click,,2026-09-20 22:28:40.497312,24.0
1,click,,2026-09-20 22:28:42.670933,30.0
1,click,,2026-09-20 22:28:44.527792,27.0
1,click,,2026-09-20 22:28:47.312511,28.0
1,click,,2026-09-20 22:32:13.701089,26.0
1,search,electronics,2026-09-20 22:32:32.170245,
1,click,,2026-09-20 22:32:34.982287,1.0
1,click,,2026-09-20 22:35:09.870077,1.0
1,search,books,2026-09-21 10:12:08.699799,
1,click,,2026-09-21 18:50:09.636024,28.0
1,click,,2026-09-21 18:50:21.252790,26.0
1,click,,2026-09-21 18:59:56.598296,26.0
1,cart,Operating Systems Book 26,2026-09-21 18:59:59.167158,26.0
1,click,,2026-09-21 19:06:06.388487,99.0
1,cart,Steel Water Bottle 99,2026-09-21 19:06:16.679360,99.0
1,click,,2026-09-21 19:06:36.295221,12.0
1,purchase,,2026-09-21 19:06:50.719600,12.0
1,search,electronics,2026-09-21 19:07:27.061669,
1,click,,2026-09-21 19:07:31.657099,3.0
1,purchase,,2026-09-21 19:07:43.973806,3.0
22,search,java,2026-09-21 19:16:33.436881,
22,click,,2026-09-21 19:18:27.616459,11.0
22,search,football,2026-09-21 19:20:25.444178,
22,click,,2026-09-21 19:20:28.454822,101.0
22,cart,Football 101,2026-09-21 19:20:31.149292,101.0
22,search,chair,2026-09-21 19:21:48.229928,
22,click,,2026-09-21 19:21:50.386670,92.0
22,purchase,,2026-09-21 19:22:05.919772,92.0
22,click,,2026-09-21 19:22:34.591174,32.0
22,cart,Ergonomic Office Chair 32,2026-09-21 19:22:36.553106,32.0
1,click,,2026-09-21 19:53:48.995925,28.0
1,cart,Java Programming Book 28,2026-09-21 19:53:52.124002,28.0
1,click,,2026-09-21 19:54:17.038359,26.0
1,purchase,,2026-09-21 19:54:31.458002,26.0
1,purchase,,2026-09-21 19:54:55.346157,28.0
1,click,,2026-09-21 19:55:38.833947,28.0
1,cart,Java Programming Book 28,2026-09-21 19:55:40.890570,28.0
1,click,,2026-09-22 19:30:12.620178,99.0
1,click,,2026-09-22 19:33:01.644838,99.0
1,cart,Steel Water Bottle 99,2026-09-22 19:33:03.665241,99.0
1,click,,2026-09-22 19:41:01.320033,26.0
1,cart,Operating Systems Book 26,2026-09-22 19:41:04.508259,26.0
10,search,books,2026-09-22 19:49:47.214521,
10,click,,2026-09-22 19:49:51.609307,28.0
10,purchase,,2026-09-22 19:50:04.305772,28.0
10,click,,2026-09-22 19:52:01.110364,21.0
10,cart,Python Programming Book 21,2026-09-22 19:52:03.862147,21.0
1,click,,2026-09-22 19:52:13.114050,26.0
1,cart,Operating Systems Book 26,2026-09-22 19:52:15.057620,26.0
1,search,books,2026-09-22 20:09:28.927874,
1,search,java,2026-09-22 20:13:39.789627,
1,click,,2026-09-22 20:13:43.407491,148.0
37,search,books,2026-09-22 20:19:16.534403,
37,click,,2026-09-22 20:19:49.615959,147.0
37,click,,2026-09-22 20:20:25.262306,21.0
44,search,electronics,2026-09-22 20:23:36.314271,
51,search,books,2026-09-22 20:25:52.544080,
51,click,,2026-09-22 20:26:19.703967,69.0
51,click,,2026-09-22 20:26:53.004493,147.0
51,click,,2026-09-22 20:27:27.210134,11.0
51,cart,Cotton T-Shirt 11,2026-09-22 20:27:29.226045,11.0
51,purchase,,2026-09-22 20:27:40.628457,11.0
1,click,,2026-09-22 20:44:04.104462,26.0
1,click,,2026-09-22 20:47:03.771481,28.0
1,click,,2026-09-22 20:47:32.044496,26.0
1,click,,2026-09-22 20:47:51.152171,28.0
1,click,,2026-09-22 20:48:29.370503,99.0
1,click,,2026-09-22 20:50:21.329828,99.0
1,click,,2026-09-22 20:50:34.313754,28.0
1,click,,2026-09-22 20:52:13.190297,99.0
1,click,,2026-09-22 20:53:15.648365,26.0
1,click,,2026-09-22 20:55:49.882838,28.0
1,click,,2026-09-22 20:55:59.467535,99.0
1,cart,Steel Water Bottle 99,2026-09-22 20:56:17.545325,99.0
1,click,,2026-09-22 20:59:42.165824,26.0
1,click,,2026-09-22 20:59:49.844318,99.0
1,click,,2026-09-22 21:07:39.968051,12.0
1,click,,2026-09-22 21:12:37.388316,3.0
1,click,,2026-09-22 21:17:01.719859,3.0
1,click,,2026-09-22 21:18:20.372540,12.0
1,click,,2026-09-22 21:19:51.721628,12.0
1,click,,2026-09-22 22:06:36.793373,3.0
1,click,,2026-09-22 22:10:17.194298,3.0
1,click,,2026-09-22 22:17:25.138846,12.0
1,click,,2026-09-22 22:22:31.193902,12.0
1,purchase,,2026-09-22 22:23:23.734858,12.0
1,click,,2026-09-22 22:25:22.052953,12.0
1,purchase,,2026-09-22 22:25:38.584963,12.0
1,click,,2026-09-22 22:27:31.539570,28.0
1,cart,Java Programming Book 28,2026-09-22 22:27:33.640631,28.0
1,click,,2026-09-22 22:35:46.761799,28.0
1,click,,2026-09-22 22:41:01.800402,3.0
1,cart,Wireless Headphones 3,2026-09-22 22:41:03.712839,3.0
1,click,,2026-09-22 22:44:57.319258,26.0
