product_id,product_name,category,price
147,Computer Networks Book 147,Books,1463.42
148,Java Programming Book 148,Books,1892.34
149,Algorithms Book 149,Books,702.59
150,Cloud Computing Book 150,Books,951.36
151,Table Lamp 151,Home,11943.25
152,Ergonomic Office Chair 152,Home,7903.57
153,Cotton Bed Sheet 153,Home,5425.77
154,Window Curtains 154,Home,6355.64
155,Wall Clock 155,Home,1715.75
156,Storage Organizer 156,Home,2928.96
157,Decorative Cushion 157,Home,4255.6
158,Desk Organizer 158,Home,7183.21
159,Steel Water Bottle 159,Home,2992.34
160,Home Decor Set 160,Home,2876.54
161,Football 161,Sports,1081.53
162,Cricket Bat 162,Sports,6458.59
163,Badminton Racket 163,Sports,2597.84
164,Tennis Ball Set 164,Sports,9092.03
165,Gym Gloves 165,Sports,8652.5
166,Yoga Mat 166,Sports,1080.23
167,Skipping Rope 167,Sports,2684.84
168,Sports Shoes 168,Sports,6822.19
169,Adjustable Dumbbells 169,Sports,2456.67
170,Fitness Band 170,Sports,1670.19
171,Face Wash 171,Beauty,4690.47
172,Moisturizer 172,Beauty,2941.01
173,Shampoo 173,Beauty,2468.82
174,Perfume 174,Beauty,3966.17
175,Sunscreen 175,Beauty,4075.99
176,Lip Balm 176,Beauty,1113.97
177,Hair Oil 177,Beauty,665.27
178,Body Lotion 178,Beauty,2269.05
179,Face Cream 179,Beauty,2233.18
180,Beauty Care Kit 180,Beauty,2441.72
181,Smartphone 181,Electronics,58732.45
182,Laptop 182,Electronics,54359.12
183,Wireless Headphones 183,Electronics,78756.97
184,Smartwatch 184,Electronics,9225.8
185,Tablet 185,Electronics,33105.77
186,Digital Camera 186,Electronics,28135.25
187,Mechanical Keyboard 187,Electronics,69141.29
188,Wireless Mouse 188,Electronics,21019.52
189,Computer Monitor 189,Electronics,16431.4
190,Bluetooth Speaker 190,Electronics,36716.16
191,Cotton T-Shirt 191,Fashion,3548.49
192,Slim Fit Jeans 192,Fashion,2444.8
193,Casual Jacket 193,Fashion,2223.51
194,Running Sneakers 194,Fashion,7409.15
195,Pullover Hoodie 195,Fashion,3712.11
196,Travel Backpack 196,Fashion,6932.39
197,Wrist Watch 197,Fashion,4537.5
198,Sunglasses 198,Fashion,689.53
199,Casual Shoes 199,Fashion,7994.48
200,Baseball Cap 200,Fashion,6737.41
